"Accession","varImp","Primary_function","Description","Biological_Process","Cellular_Component","Molecular_Function"
"P06576",0.000529301497384222,"oxidative_phosphorylation","ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3","other metabolic processes;transport;developmental processes;other biological processes","plasma membrane;other membranes;mitochondrion;other cell component","signal transduction activity or receptor binding;transporter activity;other molecular function"
"P08779",0.000516617088570433,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4","cell organization and biogenesis;stress response;developmental processes;other biological processes","cytosol;cytoskeleton","cytoskeletal activity"
"Q03252",0.0005155763242759,"cell_organization","Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4","","other membranes;cytoskeleton;nucleus","other molecular function"
"O60547",0.000509843580557307,"nucleotide/-side_metabolism","GDP-mannose 4,6 dehydratase OS=Homo sapiens OX=9606 GN=GMDS PE=1 SV=1","other metabolic processes;signal transduction","cytosol;other cell component","other molecular function"
"Q8IV08",0.000508945716105807,"further_DNA_metabolism","5'-3' exonuclease PLD3 OS=Homo sapiens OX=9606 GN=PLD3 PE=1 SV=1","DNA metabolism;other metabolic processes;stress response;other biological processes","other membranes;ER/Golgi;other cytoplasmic organelle","other molecular function"
"P23634",0.000503075969903395,"ion_transmembrane_transport","Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens OX=9606 GN=ATP2B4 PE=1 SV=2","stress response;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytoskeleton;other cell component","transporter activity;enzyme regulator activity;other molecular function"
"P54577",0.000497358123107132,"tRNA_metabolism","Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=YARS1 PE=1 SV=4","protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function"
"M0R026",0.000493703706312697,"additional_lipid_catabolic_process","2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=1","other metabolic processes","","other molecular function"
"J3QTR3",0.000492499489412353,"(none/unknown)","Ubiquitin-40S ribosomal protein S27a (Fragment) OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=1","","",""
"P07686",0.000490411025566348,"membrane_lipid_metabolism","Beta-hexosaminidase subunit beta OS=Homo sapiens OX=9606 GN=HEXB PE=1 SV=3","cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes","non-structural extracellular;other cytoplasmic organelle;other cell component","other molecular function"
"P30626",0.000485730240552613,"calcium_ion_binding","Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1","transport;developmental processes;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function"
"P51178",0.000480571129408494,"intracellular_signalling","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 OS=Homo sapiens OX=9606 GN=PLCD1 PE=1 SV=2","other metabolic processes;signal transduction","plasma membrane;other membranes;other cell component","other molecular function"
"P31930",0.000478923028915681,"oxidative_phosphorylation","Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3","other metabolic processes;transport;other biological processes","other membranes;mitochondrion","transporter activity;other molecular function"
"P60842",0.000476664815286876,"translation","Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1","protein metabolism;other metabolic processes","cytosol;translational apparatus;other cell component","nucleic acid binding activity;other molecular function"
"A0A087WVQ6",0.000475444254808941,"intracellular_transport","Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1","transport","plasma membrane;other membranes;cytoskeleton;ER/Golgi;other cytoplasmic organelle","other molecular function"
"Q13526",0.000472760771460191,"protein_modification","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens OX=9606 GN=PIN1 PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","cytosol;cytoskeleton;mitochondrion;nucleus;other cell component","cytoskeletal activity;other molecular function"
"Q16718",0.000471731061037176,"oxidative_phosphorylation","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens OX=9606 GN=NDUFA5 PE=1 SV=3","cell organization and biogenesis;other metabolic processes;transport","other membranes;mitochondrion","transporter activity"
"E5RGR0",0.000469809275909117,"protein_modification","Acyl-protein thioesterase 1 (Fragment) OS=Homo sapiens OX=9606 GN=LYPLA1 PE=1 SV=1","","","other molecular function"
"P08865",0.000451715715501586,"translation","40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4","cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","plasma membrane;other membranes;cytosol;translational apparatus;nucleus;other cell component","translation activity;other molecular function"
"E9PQD7",0.000446139447036573,"translation","40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","nucleic acid binding activity;other molecular function"
"P29401",0.000442521225402011,"carb_anabolic_process","Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3","other metabolic processes;other biological processes","other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle","other molecular function"
"P62241",0.000436997375507007,"translation","40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2","protein metabolism;RNA metabolism OR transcription;other metabolic processes","cytosol;ER/Golgi;translational apparatus;nucleus;other cell component","other molecular function"
"Q99880",0.000431147192410574,"DNA_packaging","Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3","cell organization and biogenesis","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"H7C2W9",0.000423462004219872,"translation","60S ribosomal protein L31 (Fragment) OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","other molecular function"
"A0A2R8Y7Z0",0.000422852646452226,"cell_adhesion_&_contact","Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1","cell adhesion","other cell component","other molecular function"
"A0A1B0GWH0",0.000421763173768878,"cell_organization","Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=1","","",""
"F8VVM2",0.000417896644786345,"ion_transmembrane_transport","Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=1","transport","other membranes;mitochondrion","transporter activity"
"Q6MZM0",0.000411947492551454,"iron_homeostasis","Ferroxidase HEPHL1 OS=Homo sapiens OX=9606 GN=HEPHL1 PE=1 SV=2","transport;other biological processes","plasma membrane;other membranes","other molecular function"
"P29508",0.000411915638583732,"intracellular_proteolysis","Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2","cell-cell signaling;other biological processes","non-structural extracellular;nucleus;other cytoplasmic organelle;other cell component","enzyme regulator activity;other molecular function"
"O95833",0.000411625471465527,"ion_transmembrane_transport","Chloride intracellular channel protein 3 OS=Homo sapiens OX=9606 GN=CLIC3 PE=1 SV=2","other metabolic processes;transport;signal transduction;other biological processes","other membranes;nucleus;other cell component","transporter activity"
"H0YF27",0.000400081272304458,"transcription","Tripartite motif-containing protein 29 (Fragment) OS=Homo sapiens OX=9606 GN=TRIM29 PE=1 SV=1","","",""
"P78386",0.000398618226043532,"structural_proteins_hair_nail_epidermis","Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1","other biological processes","cytosol;cytoskeleton","other molecular function"
"P12268",0.00037622699662562,"nucleotide/-side_metabolism","Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2","cell cycle OR cell proliferation;other metabolic processes;developmental processes;other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P11021",0.000374999633577332,"protein_folding","Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2","protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;mitochondrion;ER/Golgi;nucleus;other cell component","translation activity;other molecular function"
"Q6PH81",0.000364313549123463,"(none/unknown)","UPF0547 protein C16orf87 OS=Homo sapiens OX=9606 GN=C16orf87 PE=1 SV=1","","",""
"Q9BPW9",0.000363748168515174,"hormone_metabolism","Dehydrogenase/reductase SDR family member 9 OS=Homo sapiens OX=9606 GN=DHRS9 PE=1 SV=1","other metabolic processes;other biological processes","other membranes;ER/Golgi","other molecular function"
"P54920",0.000361980457848905,"intracellular_transport","Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=3","cell-cell signaling;cell organization and biogenesis;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","other molecular function"
"B0QZK4",0.000347731126926344,"DNA_packaging","Heterochromatin protein 1-binding protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1","cell organization and biogenesis;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"O60884",0.000344616846727194,"protein_folding","DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1","stress response;other biological processes","other membranes;cytosol","other molecular function"
"Q9Y3R4",0.000332377244575055,"membrane_lipid_metabolism","Sialidase-2 OS=Homo sapiens OX=9606 GN=NEU2 PE=1 SV=2","protein metabolism;other metabolic processes","other membranes;cytosol;other cell component","other molecular function"
"Q5VYY1",0.000321155416250761,"cell_proliferation","Ankyrin repeat domain-containing protein 22 OS=Homo sapiens OX=9606 GN=ANKRD22 PE=2 SV=1","","",""
"C9JZR2",0.00031438354062768,"cell_adhesion_&_contact","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=2","cell adhesion","plasma membrane;other membranes;other cell component","other molecular function"
"O76014",0.000313607976323229,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha7 OS=Homo sapiens OX=9606 GN=KRT37 PE=1 SV=3","","cytosol;cytoskeleton","other molecular function"
"O75746",0.000278795057417089,"other_transmembrane_transport","Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens OX=9606 GN=SLC25A12 PE=1 SV=2","other metabolic processes;transport;other biological processes","other membranes;mitochondrion","transporter activity;other molecular function"
"P62318",0.000277233599290867,"RNA_processing","Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1","cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P63261",0.000277167831783278,"cell_organization","Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1","cell organization and biogenesis;stress response;transport;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"P04080",0.000247871888234139,"intracellular_proteolysis","Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2","other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","enzyme regulator activity;other molecular function"
"B1AK88",0.000154087773923755,"cell_organization","F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1","cell organization and biogenesis","cytoskeleton","cytoskeletal activity"
"P51149",0.000148329129416754,"intracellular_transport","Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes","plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","other molecular function"
